epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,950.227,0.85326,0.60237,1.14264,0.88747,0.95881,0.97054,0.79116,0.74128,0.43377,1.08777,0.0011684,0.0011684,0.0011684
44,972.279,0.85556,0.60634,1.14905,0.88444,0.95137,0.9664,0.78993,0.7412,0.43116,1.07467,0.0011486,0.0011486,0.0011486
45,994.159,0.83872,0.59723,1.13344,0.85197,0.97964,0.96275,0.78561,0.7254,0.44789,1.0779,0.0011288,0.0011288,0.0011288
46,1016.07,0.86254,0.58774,1.15617,0.86941,0.93009,0.94891,0.77352,0.74645,0.45572,1.0827,0.001109,0.001109,0.001109
47,1037.97,0.85331,0.57769,1.14067,0.88016,0.95989,0.96893,0.79192,0.72881,0.41866,1.07395,0.0010892,0.0010892,0.0010892
48,1059.76,0.83436,0.57989,1.13391,0.9111,0.93617,0.97351,0.80051,0.71885,0.41321,1.07982,0.0010694,0.0010694,0.0010694
49,1081.74,0.82982,0.58375,1.13384,0.91116,0.93521,0.96656,0.80533,0.71478,0.42298,1.07271,0.0010496,0.0010496,0.0010496
50,1103.75,0.81658,0.58799,1.12539,0.90684,0.93009,0.97102,0.79664,0.73049,0.42391,1.07954,0.0010298,0.0010298,0.0010298
51,1125.62,0.82333,0.57248,1.13423,0.89165,0.95745,0.97402,0.79869,0.73226,0.42283,1.08132,0.00101,0.00101,0.00101
52,1147.45,0.83139,0.58349,1.13997,0.87147,0.96353,0.97624,0.79421,0.75168,0.42431,1.09888,0.0009902,0.0009902,0.0009902
53,1169.45,0.81671,0.57467,1.12002,0.88777,0.96171,0.97181,0.7894,0.74523,0.42105,1.08526,0.0009704,0.0009704,0.0009704
54,1191.29,0.80602,0.56248,1.12431,0.89854,0.92705,0.9755,0.79225,0.73804,0.42428,1.07866,0.0009506,0.0009506,0.0009506
55,1213.3,0.82079,0.57752,1.13062,0.89517,0.96049,0.97183,0.81211,0.69993,0.4071,1.05647,0.0009308,0.0009308,0.0009308
56,1235.22,0.791,0.55474,1.11078,0.9092,0.91306,0.9725,0.80587,0.71688,0.41767,1.06651,0.000911,0.000911,0.000911
57,1257.07,0.79635,0.56172,1.11422,0.89108,0.95137,0.96941,0.77971,0.74715,0.44275,1.09006,0.0008912,0.0008912,0.0008912
58,1279.11,0.8095,0.56705,1.12427,0.88796,0.93953,0.97535,0.7986,0.72334,0.41883,1.07409,0.0008714,0.0008714,0.0008714
59,1300.98,0.78196,0.55565,1.10353,0.83327,0.98736,0.96186,0.79,0.7216,0.43152,1.08077,0.0008516,0.0008516,0.0008516
60,1322.96,0.78658,0.54905,1.11512,0.90133,0.91793,0.97051,0.79675,0.715,0.43015,1.06758,0.0008318,0.0008318,0.0008318
61,1344.88,0.78754,0.53443,1.10182,0.89999,0.93009,0.9722,0.80212,0.71993,0.41137,1.06579,0.000812,0.000812,0.000812
62,1366.8,0.77093,0.54587,1.09499,0.89914,0.93009,0.9648,0.79181,0.74567,0.42359,1.08223,0.0007922,0.0007922,0.0007922
63,1388.74,0.79038,0.56218,1.11185,0.90474,0.91489,0.97384,0.80704,0.70858,0.41339,1.06583,0.0007724,0.0007724,0.0007724
64,1410.48,0.76467,0.54145,1.09432,0.86894,0.96728,0.96458,0.79676,0.72773,0.40877,1.0901,0.0007526,0.0007526,0.0007526
65,1432.53,0.7577,0.52034,1.0908,0.8599,0.98176,0.97465,0.81164,0.70172,0.39182,1.05568,0.0007328,0.0007328,0.0007328
66,1454.35,0.74974,0.51026,1.07891,0.89994,0.94529,0.97464,0.81484,0.69359,0.38845,1.04505,0.000713,0.000713,0.000713
67,1476.21,0.74754,0.52411,1.09014,0.89526,0.95745,0.97602,0.81965,0.70866,0.39698,1.05382,0.0006932,0.0006932,0.0006932
68,1498.18,0.74492,0.52871,1.08127,0.92213,0.93313,0.97552,0.81384,0.69311,0.3894,1.05108,0.0006734,0.0006734,0.0006734
69,1520.14,0.74883,0.51754,1.08504,0.87227,0.97555,0.96555,0.80161,0.70566,0.41957,1.05506,0.0006536,0.0006536,0.0006536
70,1541.9,0.75066,0.53929,1.09816,0.88262,0.96353,0.97695,0.82264,0.68235,0.38883,1.03991,0.0006338,0.0006338,0.0006338
71,1563.82,0.72739,0.51451,1.07596,0.91007,0.92705,0.97292,0.81151,0.71042,0.40051,1.05249,0.000614,0.000614,0.000614
72,1585.71,0.73408,0.50941,1.0737,0.86723,0.97283,0.97261,0.81952,0.67621,0.39685,1.0471,0.0005942,0.0005942,0.0005942
73,1607.49,0.71386,0.49621,1.06549,0.89923,0.94928,0.97206,0.81197,0.69232,0.39283,1.04891,0.0005744,0.0005744,0.0005744
74,1629.45,0.7162,0.49938,1.06284,0.87778,0.96052,0.97171,0.81426,0.69754,0.39551,1.05606,0.0005546,0.0005546,0.0005546
75,1651.43,0.71796,0.50743,1.05905,0.87259,0.9696,0.97385,0.82064,0.69643,0.38856,1.04993,0.0005348,0.0005348,0.0005348
76,1673.27,0.72146,0.50255,1.07821,0.88997,0.95876,0.97497,0.8162,0.69404,0.38852,1.05891,0.000515,0.000515,0.000515
77,1695.25,0.70331,0.49455,1.06429,0.87182,0.97169,0.97479,0.81682,0.6786,0.38722,1.04864,0.0004952,0.0004952,0.0004952
78,1717.18,0.69699,0.48046,1.05729,0.90977,0.94225,0.97534,0.81375,0.6921,0.38839,1.05702,0.0004754,0.0004754,0.0004754
79,1738.97,0.70371,0.48752,1.06255,0.91396,0.93637,0.97286,0.81407,0.70188,0.38867,1.06639,0.0004556,0.0004556,0.0004556
80,1760.89,0.70855,0.49256,1.0584,0.90485,0.92495,0.97101,0.80786,0.6916,0.39456,1.04109,0.0004358,0.0004358,0.0004358
81,1782.79,0.69661,0.49376,1.05506,0.87018,0.96657,0.97032,0.81882,0.68225,0.39422,1.0442,0.000416,0.000416,0.000416
82,1804.56,0.68956,0.47584,1.04339,0.90822,0.93921,0.97303,0.81021,0.71035,0.38781,1.05601,0.0003962,0.0003962,0.0003962
83,1826.49,0.68973,0.47857,1.0553,0.89441,0.95441,0.97251,0.82275,0.69196,0.3942,1.04357,0.0003764,0.0003764,0.0003764
84,1848.45,0.68907,0.48352,1.05493,0.92199,0.93313,0.97557,0.8188,0.67826,0.37467,1.04392,0.0003566,0.0003566,0.0003566
85,1870.5,0.67754,0.47185,1.04693,0.94061,0.91469,0.97827,0.8236,0.67266,0.37403,1.04602,0.0003368,0.0003368,0.0003368
86,1892.36,0.67214,0.4581,1.04146,0.90455,0.95057,0.97558,0.8161,0.67919,0.37673,1.04359,0.000317,0.000317,0.000317
87,1914.26,0.6761,0.47027,1.05255,0.86934,0.97072,0.9755,0.81687,0.67623,0.39125,1.04413,0.0002972,0.0002972,0.0002972
88,1936.23,0.66963,0.46192,1.04135,0.88511,0.96353,0.97658,0.8217,0.66911,0.37172,1.03858,0.0002774,0.0002774,0.0002774
89,1957.98,0.66548,0.46085,1.04285,0.9124,0.91809,0.97045,0.81824,0.67753,0.3796,1.04952,0.0002576,0.0002576,0.0002576
90,1979.91,0.66652,0.46163,1.03934,0.88042,0.96657,0.97351,0.81856,0.67377,0.37401,1.04025,0.0002378,0.0002378,0.0002378
91,2003.13,0.53697,0.31753,0.95208,0.88384,0.97132,0.97323,0.81845,0.67496,0.38613,1.03718,0.000218,0.000218,0.000218
92,2025.06,0.51851,0.30413,0.94257,0.8923,0.95696,0.97186,0.82209,0.67613,0.37662,1.04151,0.0001982,0.0001982,0.0001982
93,2046.87,0.50676,0.2972,0.94225,0.91503,0.94225,0.97612,0.82844,0.67185,0.36986,1.03491,0.0001784,0.0001784,0.0001784
94,2068.71,0.50212,0.30139,0.93886,0.89537,0.96242,0.97742,0.82882,0.66474,0.37141,1.02713,0.0001586,0.0001586,0.0001586
95,2090.36,0.49597,0.28437,0.92853,0.8933,0.96049,0.97683,0.82896,0.66159,0.37235,1.02649,0.0001388,0.0001388,0.0001388
96,2112.21,0.48602,0.27787,0.92157,0.89933,0.95039,0.97692,0.82961,0.6638,0.37018,1.03637,0.000119,0.000119,0.000119
97,2134.07,0.49055,0.28131,0.93284,0.90384,0.95441,0.97663,0.82613,0.66646,0.36234,1.03355,9.92e-05,9.92e-05,9.92e-05
98,2155.84,0.48579,0.28381,0.91606,0.91689,0.93313,0.97713,0.83211,0.66113,0.36434,1.03312,7.94e-05,7.94e-05,7.94e-05
99,2177.69,0.4777,0.27913,0.9186,0.91274,0.93313,0.97609,0.82871,0.66395,0.36447,1.03418,5.96e-05,5.96e-05,5.96e-05
100,2199.45,0.47622,0.27671,0.92884,0.91102,0.93354,0.97668,0.82967,0.65939,0.36262,1.03143,3.98e-05,3.98e-05,3.98e-05
